ADDRESS,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH
10556 mountair Ave,Tujunga,91042,449000,0,0,6800,6800,0,2,66,0
14093 Bayside Dr,Norwalk,90650,299000,0,1,477,143136,1976,55,627,365
141 S Clark Dr #315,West Hollywood,90048,498000,0,1,480,40236,1973,14,1038,383
20327 Saticoy St #211,Winnetka,91306,260000,0,1,440,0,1978,3,591,184
2110 Barry Ave,Los Angeles,90025,1949000,0,0,0,6194,0,95,0,0
2843-2845 Rosanna,Los Angeles,90039,1599000,0,0,2089,7037,1929,49,765,0
29 Marion Ave,Pasadena,91106,2495000,0,0,5290,7999,1912,96,472,0
3734 S Canfield Ave #106,Los Angeles,90034,399000,0,1,454,0,1972,24,879,424
4914-4912 Mendota Ave,Los Angeles,90042,1550000,0,0,1794,4802,1924,19,864,0
618-624.5 E Chevy Chase Dr,Glendale,91205,3775000,0,0,7580,21218,1951,249,498,0
100 S Alameda St #141,Los Angeles,90012,548000,1,1,874,138016,2005,3,627,579
100 S Doheny Dr #222,Los Angeles,90048,535000,1,2,719,90087,1971,116,744,691
10521 National Blvd #103,Los Angeles,90034,449000,1,1,548,27070,1976,71,819,230
1115 S Elm Dr #417,Los Angeles,90035,479000,1,2,768,39953,1972,11,624,460
1116 E Palmer Ave #13,Glendale,91205,449900,1,1,610,42132,1987,6,738,220
11448 216th St,Lakewood,90715,1042500,1,0,792,10624,1937,10,1316,0
125 N Allen Ave #221,Pasadena,91106,490000,1,1.5,837,51203,1973,3,585,390
125 S Sierra Madre Blvd #112,Pasadena,91107,475000,1,1.5,887,31898,1972,4,536,350
13525 S Vermont Ave #37,Gardena,90247,89950,1,1,0,0,2021,39,0,0
136 S Clark Dr #1,West Hollywood,90048,689000,1,2,790,5854,1982,1,872,420
14919 S Normandie Ave #5,Gardena,90247,339000,1,1,650,41163,1961,14,522,188
1524 W 220th St,Torrance,90501,695000,1,1,528,7202,1924,19,1316,0
1600 Manning Ave #1,Los Angeles,90024,545000,1,1,595,9282,1950,10,916,150
16949 S Western Ave #79,Gardena,90247,95000,1,1,380,0,2021,138,250,0
16949 S Western Ave #97,Gardena,90247,80000,1,1,528,0,2001,23,152,0
17100 S Gramercy Pl #20,Gardena,90247,170000,1,1,0,0,0,67,0,380
17215 S Dalton Ave,Gardena,90247,700000,1,1,680,6234,1929,28,1029,0
1735 N Fuller Ave #327,Los Angeles,90046,449000,1,1,772,86424,1974,1,582,435
178 S Euclid Ave #105,Pasadena,91101,800000,1,1,806,22617,2022,11,993,462
178 S Euclid Ave #306,Pasadena,91101,841000,1,1,823,22617,2022,17,1022,462
1845 Corinth Ave #105,Los Angeles,90025,595000,1,1,709,14495,1973,41,839,420
18530 Hatteras St #107,Tarzana,91356,269000,1,1,647,84776,1978,2,416,659
2025 Avenue Of The Stars #205,Los Angeles,90067,2160000,1,1.5,1000,0,1965,95,2160,2386
20315 Denker,Torrance,90501,115000,1,2,528,0,1984,40,218,0
2033 Euclid St #12,Santa Monica,90405,499000,1,1,576,42905,1953,3,866,248
210 N Monterey St #101,Alhambra,91801,468000,1,2,932,34538,2015,8,502,310
210 N Monterey St #308,Alhambra,91801,468000,1,2,932,34538,2015,12,502,310
210 N Monterey St #505,Alhambra,91801,488888,1,2,870,34538,2015,71,562,310
211 E California Ave Unit A-4,Glendale,91206,359000,1,1,617,25790,1959,350,582,270
211 Elm Ct Unit 6C,Los Angeles,90067,1750000,1,1,962,0,0,55,1819,1679
2170 Century Park East #1003,Los Angeles,90067,599000,1,1,815,223035,1966,28,735,880
2170 Century Park East #1605,Los Angeles,90067,1050000,1,2,1018,223035,1966,12,1031,1109
21926 S Vermont Ave #15,Torrance,90502,68500,1,1,0,0,1964,62,0,0
21926 S Vermont Ave #35,Torrance,90502,80000,1,1,0,0,1973,74,0,0
21926 S Vermont Ave #53,Torrance,90502,85000,1,1,0,0,1964,73,0,0
2220 Avenue Of The Stars #304,Los Angeles,90067,1249000,1,2.5,1624,177810,1964,24,769,2434
2345 190th #78,Redondo Beach,90278,82500,1,1,400,0,1960,62,206,0
2501 Lake View Ave,Los Angeles,90039,780000,1,1,512,3326,1949,1,1523,0
288 S Oakland Ave #209,Pasadena,91101,920000,1,1.5,1160,20663,2016,77,793,343
315 N Louise St #206,Glendale,91206,374900,1,1,594,19086,1961,13,631,266
3162 Ivy St,Los Angeles,90034,1750000,1,2,1672,5398,1923,84,1047,0
3325 Bagley Ave #203,Los Angeles,90034,575000,1,1,960,15660,1978,10,599,440
3423 Cazador St,Los Angeles,90065,700000,1,1,536,6491,1937,90,1306,0
388 Cordova St #504,Pasadena,91101,918000,1,2,1014,18679,2019,3,905,618
401 W Carson St #4,Carson,90745,275000,1,1,770,1920,1979,1,357,220
4633 Marine Ave #142,Lawndale,90260,375000,1,1,637,79734,1973,9,589,266
482 S Arroyo Pkwy #408,Pasadena,91105,798000,1,1,920,0,2015,5,867,579
4861 Lincoln Ave #26,Cypress,90630,70000,1,1,468,0,2003,46,150,0
530 Molino St #211,Los Angeles,90013,2100000,1,1,3525,0,1923,3,596,1014
552 Carson #302,Carson,90745,499000,1,1,700,28172,2015,26,713,422
5648-1/2 Clemson St,Los Angeles,90016,369000,1,1,651,30690,1948,106,567,278
647 Wilcox Ave Unit 2E,Los Angeles,90004,795000,1,1.5,1217,118803,1972,3,653,1019
7260 Hillside Ave #105,Los Angeles,90046,599000,1,2,938,32021,1965,1,639,366
728 N Sweetzer Ave #112,Los Angeles,90069,1075000,1,1,862,0,2021,38,1247,776
728 N Sweetzer Ave #117,Los Angeles,90069,1495000,1,1.5,1512,0,2021,38,989,838
8050 Dorothy St,Rosemead,91770,497500,1,1,738,4171,1941,31,674,0
85 N Madison Ave #27,Pasadena,91101,449000,1,1,510,0,1922,4,880,626
877 Francisco St #1903,Los Angeles,90017,679000,1,1,695,169975,2017,3,977,599
931 E Walnut St #606,Pasadena,91106,599000,1,1,890,49548,2007,5,673,422
10030 France Ave,Tujunga,91042,699888,2,1,852,4324,1941,1,821,0
10104 Rose St,Bellflower,90706,719900,2,1,940,5977,1952,33,766,0
10112 Empyrean Way #204,Los Angeles,90067,2849000,2,3,2240,464441,1979,36,1272,1929
10112 Empyrean Way #304,Los Angeles,90067,3349000,2,3.5,2240,464441,1979,36,1495,3195
10114 Empyrean Way #201,Los Angeles,90067,2795000,2,2.5,2273,464441,1979,6,1230,2206
10126 Empyrean Way #303,Los Angeles,90067,3850000,2,2.5,2777,464293,1979,24,1386,2668
10149 Commerce Ave #26,Tujunga,91042,430000,2,2,756,30853,1984,4,569,258
10240 Camarillo St #214,Toluca Lake,91602,649000,2,2,1057,47461,1965,3,614,475
10267-1/2 Tujunga Canyon Blvd,Tujunga,91042,499000,2,1,818,6790,1936,3,610,0
1032 S Mesa St,San Pedro,90731,545000,2,1,624,1448,1918,1,873,0
10347 Larwin Ave #1,Chatsworth,91311,540000,2,2,1066,137826,1969,2,507,665
10520 Hickory St,Los Angeles,90002,489000,2,1,874,3249,1983,3,559,0
10525 Somerset #50,Bellflower,90706,190000,2,2,1400,0,1972,14,136,0
10529 Mcclemont Ave,Tujunga,91042,699000,2,1,1119,6082,1941,2,625,0
10580 Wilshire Blvd Unit 3S,Los Angeles,90024,2700000,2,3,2554,46076,1991,87,1057,3888
10580 Wilshire Blvd Unit 5SW,Los Angeles,90024,1995000,2,2.5,2260,46076,1991,82,883,4150
1059 S Shenandoah St #301,Los Angeles,90035,899000,2,2,1491,12183,1989,5,603,395
1060 Concha St,Altadena,91001,852000,2,1,1090,7532,1948,12,782,0
10740 Lawler St #3,Los Angeles,90034,699000,2,2,820,9755,1986,76,852,409
10800 Wilshire Blvd #1001,Los Angeles,90024,2750000,2,2.5,2640,46282,2005,1,1042,3700
10800 Wilshire Blvd #1303,Los Angeles,90024,3975000,2,3.5,3280,46282,2005,3,1212,3911
1097 Blanche St #110,Pasadena,91106,795000,2,2,1023,38497,1988,3,777,545
1100 SINALOA Ave,Pasadena,91104,759000,2,1,640,2998,1920,32,1186,0
1101 Rexford Dr #302,Los Angeles,90035,925000,2,2,1486,11586,1979,4,622,562
11021 Oro Vista Ave,Sunland,91040,749999,2,1,936,5995,1954,3,801,0
11106 Arminta St #4,Sun Valley,91352,445000,2,1.5,1008,40498,1985,3,441,250
1133 N Clark St #303,West Hollywood,90069,1995000,2,2,1750,8627,1981,4,1140,425
11442 216th St,Lakewood,90715,1042500,2,0,834,6002,1950,10,1250,0
116 S Chapel Ave Unit M,Alhambra,91801,625000,2,2.5,1313,35697,1980,10,476,350
11601 Idaho Ave #11601,Los Angeles,90025,899000,2,2.5,920,6472,1989,11,977,450
11733 166th St,Norwalk,90650,169900,2,1,730,1400,1984,18,233,0
1174 E 41st Pl,Los Angeles,90011,590000,2,1,1040,6249,1909,3,567,0
11939 Gorham Ave #201,Los Angeles,90049,1330000,2,2.5,1995,27754,1981,3,667,650
120 N Doheny Dr #201,West Hollywood,90048,1350000,2,2,1736,16658,1980,48,778,500
120 S Sierra Madre Blvd #202,Pasadena,91107,675000,2,2,1276,0,1970,5,529,360
12018 Lowemont St,Norwalk,90650,550000,2,1,741,2607,1954,3,742,0
12021 Washington Pl,Los Angeles,90066,2050000,2,5,2524,2503,1988,83,812,0
12045 Foster Rd #5,Norwalk,90650,525000,2,1.5,1142,189051,1981,7,460,325
1207 S New Hampshire Ave,Los Angeles,90006,875000,2,2,1403,5376,1900,1,624,0
12118 Barnwall St,Norwalk,90650,499000,2,1,941,2605,1954,21,530,0
12550 E Carson #118,Hawaiian Gardens,90716,155000,2,2,0,0,1980,1,0,0
12550 E Carson #171,Hawaiian Gardens,90716,115000,2,2,0,0,1967,16,0,0
12550 E Carson St Spc 105,Hawaiian Gardens,90716,198000,2,2,1000,0,2013,42,198,0
13024 Union Ave #201,Hawthorne,90250,995000,2,2,1429,0,2010,4,696,616
13075 Pacific Promenade #111,Playa Vista,90094,939000,2,2.5,1197,50985,2003,4,784,727
1343 W 222nd St,Torrance,90501,799000,2,1,982,9001,1947,12,814,0
1345 Cambridge Dr,Glendale,91205,929000,2,2,1164,4496,1947,11,798,0
1347 E Garfield Ave,Glendale,91205,976800,2,1,888,6862,1938,19,1100,0
13660 Van Buren Ave,Gardena,90247,750000,2,2,1421,6601,1953,21,528,0
137 W Altadena Dr,Altadena,91001,999999,2,1.5,1507,8864,1915,1,664,0
1375 Kelton Ave #104,Los Angeles,90024,779000,2,2,1149,23155,1983,10,678,570
1409 Havenhurst Dr #1,West Hollywood,90046,1550000,2,2.5,1629,15393,1982,1,952,500
141 S Linden Dr #305,Beverly Hills,90212,1899000,2,2,2082,28063,1974,95,912,1265
1429 El Paso Dr,Los Angeles,90065,899900,2,1,852,4870,1952,48,1056,0
14315 Funston Ave,Norwalk,90650,590000,2,1,872,5601,1942,5,677,0
1436 Brett Pl #18,San Pedro,90732,525000,2,2,961,249580,1987,3,546,470
1436 Brett Pl #22,San Pedro,90732,529000,2,2,961,0,1987,4,550,470
14408 Brink Ave,Norwalk,90650,604988,2,1,799,5600,1940,6,757,0
1445 Brett Pl #112,San Pedro,90732,649900,2,3,1447,70840,1987,1,449,638
1457 N Oxford Ave,Pasadena,91104,999999,2,2,1088,6266,1924,4,919,0
1459 E 43rd St,Los Angeles,90011,485000,2,1,864,5198,1907,3,561,0
14632 Thornlake Ave,Norwalk,90650,645888,2,1,752,5740,1948,12,859,0
1469 E Elizabeth St,Pasadena,91104,850000,2,1,783,8032,1922,1,1086,0
14727 Parthenia St #21,Panorama City,91402,389000,2,1,846,178115,1978,4,460,470
14735 Victory Blvd #12,Van Nuys,91411,515000,2,1.5,1068,12998,1980,3,482,400
14813 Helwig Ave,Norwalk,90650,615000,2,1,756,6069,1949,4,813,0
14953 Bayou Ave,Bellflower,90706,699000,2,1,1007,2510,1960,171,694,0
1509 Greenfield Ave #108,Los Angeles,90025,999000,2,2,1527,26857,1973,12,654,510
15157 Woodruff Pl,Bellflower,90706,499000,2,2,987,56476,1973,7,506,200
1517 E Garfield Ave #63,Glendale,91205,587000,2,2,1099,134640,1975,84,534,362
1520 Camden Ave #201,Los Angeles,90025,1290000,2,3,1756,20263,1974,33,735,531
15321 Jasmine Ln #102,Gardena,90249,749000,2,3,1300,24724,2016,3,576,240
15333 Kornblum Ave,Lawndale,90260,695000,2,1,1030,5244,1951,10,675,0
1535 E Elizabeth St,Pasadena,91104,1025000,2,2,1362,8012,1923,1,753,0
1537 E Topeka St,Pasadena,91104,850000,2,1,792,8103,1946,1,1073,0
1544 Stanford St #2,Santa Monica,90404,866000,2,2,1122,8124,1971,36,772,274
1545 E Elizabeth St,Pasadena,91104,900000,2,1,1086,8009,1945,1,829,0
155 Cordova St #203,Pasadena,91105,1310000,2,2,2000,16350,2010,20,655,1113
155 Cordova St #204,Pasadena,91105,1320000,2,2,2054,0,2010,33,643,1164
15550 Bellflower Blvd,Bellflower,90706,699999,2,1,797,7764,1941,13,878,0
1564 Cabrillo Ave,Venice,90291,1995000,2,2,1341,1683,1913,3,1488,0
15716 S Normandie Ave #7,Gardena,90247,499000,2,2,1248,12376,1981,5,400,200
1602 Artesia Square Ave Unit E,Gardena,90248,779000,2,2.5,1706,40000,2012,14,457,355
1606 S Stanley Ave,Los Angeles,90019,1495000,2,2,2287,5714,1924,6,654,0
1614 Navarro Ave,Pasadena,91103,800000,2,2,1109,4375,1923,51,721,0
1625 Centinela Ave Unit K,Santa Monica,90404,699000,2,1,750,12938,1959,18,932,372
166 S Hayworth Ave #201,Los Angeles,90048,995000,2,2,1671,11036,1982,11,595,635
16739 Vanowen Unit l,Lake Balboa,91406,449995,2,2,1221,0,1974,2,369,440
1697 N Sierra Bonita Ave,Pasadena,91104,675000,2,1,672,2010,1924,1,1004,0
1717 E Chevy Chase Dr,Glendale,91206,1399999,2,0,1723,6402,1950,41,813,0
1751 Hauser Blvd,Los Angeles,90019,1199900,2,1,1323,5408,1938,68,907,0
17628 Alburtis Ave #14,Artesia,90701,450000,2,1,809,79559,1978,19,556,365
17700 AVALON,Carson,90746,239000,2,2,1440,0,1975,1,166,0
17700 S Avalon Blvd #356,Carson,90746,199950,2,2,1440,0,1975,5,139,0
178 S Euclid Ave #107,Pasadena,91101,1039000,2,2,1130,22617,2022,17,919,511
17820 Lakewood #8,Bellflower,90706,49900,2,1,0,0,2000,5,0,0
17914 Magnolia Blvd #128,Encino,91316,499000,2,2,1107,54578,1981,3,451,495
1800 Oakdale St,Pasadena,91106,1280000,2,2,1224,4924,1923,11,1046,0
1811 Oak St #1,Santa Monica,90405,1495000,2,2.5,1345,7009,1991,7,1112,400
1820 S Orange Dr,Los Angeles,90019,1150000,2,3,1437,5600,1936,5,800,0
1821 S Dunsmuir Ave,Los Angeles,90019,1299000,2,1,1273,5914,1940,12,1020,0
1827 8th St,Manhattan Beach,90266,1990000,2,1,1019,7500,1952,1,1953,0
1828 Camden Ave #201,West Los Angeles,90025,875000,2,2.5,1288,13247,1969,42,679,564
1840 Camden Ave #205,Los Angeles,90025,749999,2,2,944,13242,1972,7,794,320
1840 Torrance Blvd,Torrance,90501,849000,2,2.5,1660,42788,2000,4,511,175
18407 Collins St Unit A,Tarzana,91356,649000,2,3,1516,124721,1973,4,428,400
18801 Hawthorne Space #65 Blvd,Torrance,90504,165000,2,2,0,0,1979,67,0,0
18828 Hatteras St Unit A,Tarzana,91356,575000,2,3,1549,72206,1979,4,371,488
1B,Gardena,90248,700000,2,2.5,1528,0,0,0,458,0
200 N Swall Dr #309,Beverly Hills,90211,1475000,2,2,1532,96911,1986,6,963,1761
201 Ocean Ave Unit 1907B,Santa Monica,90402,3495000,2,3,1744,57733,1971,3,2004,4200
2018 Griffith Park Blvd #213,Los Angeles,90039,759000,2,2,1179,121289,1982,4,644,560
2025 Avenue Of The Stars #1203,Los Angeles,90067,4079000,2,2.5,1942,0,1965,13,2100,3175
2025 Avenue Of The Stars #1403,Los Angeles,90067,4175000,2,2.5,1942,0,1965,95,2150,3175
2025 Avenue Of The Stars #1605,Los Angeles,90067,4800000,2,2.5,1743,0,1965,73,2754,3011
2025 Avenue Of The Stars #207,Los Angeles,90067,3188000,2,2.5,1555,0,1965,95,2050,2853
2030 Lovila Ln,Altadena,91001,849000,2,1,1042,4611,1925,11,815,0
2050 Glendon Ave,Los Angeles,90025,1575000,2,2,1176,5406,1926,1,1339,0
20505 S Vermont Ave #6,Torrance,90502,550000,2,2,959,229579,1980,16,574,342
207 S Aviation Blvd,Manhattan Beach,90266,1325000,2,1,906,5299,1961,33,1462,0
211 Elm Ct Unit 17C,Los Angeles,90067,6700000,2,2.5,2940,0,0,66,2279,3753
211 Elm Ct Unit 18B,Los Angeles,90067,5600000,2,2.5,2495,0,0,66,2244,3286
211 Elm Ct Unit 4D,Los Angeles,90067,2928000,2,2.5,1830,0,0,40,1600,2589
21329 Norwalk Blvd #30,Hawaiian Gardens,90716,450000,2,2,1094,200781,1979,6,411,310
21555 Burbank Blvd #64,Woodland Hills,91367,649999,2,1.5,1074,222405,1980,3,605,470
2160 Century Park East #206,Los Angeles,90067,1065000,2,2,1416,223035,1966,109,752,1548
2160 Century Park East #905,Los Angeles,90067,979000,2,2,1053,223035,1966,42,930,1109
21607 Juan Ave #37,Hawaiian Gardens,90716,430000,2,2,887,58000,1973,11,485,270
2171 Century Woods Way #25,Los Angeles,90067,2345000,2,2.5,2487,257632,1983,111,943,3006
2175 S Beverly Glen Blvd #306,Los Angeles,90025,989000,2,2,1435,30180,1973,112,689,494
21834 Belshire Ave #1,Hawaiian Gardens,90716,370000,2,1,784,21582,1979,13,472,200
222 Monterey Rd #305,Glendale,91206,928000,2,2.5,1864,38248,1982,76,498,970
2222 Avenue Of The Stars Unit E 1101,Los Angeles,90067,1899000,2,2,1974,177810,1964,17,962,2434
2235 W 25th St #119,San Pedro,90732,635000,2,2,1360,85475,1969,3,467,549
2274 Century Hl,Los Angeles,90067,2900000,2,3.5,2912,787367,1980,34,996,2654
234 N Kenwood St #307,Glendale,91206,449000,2,2,1185,22411,1975,10,379,425
2345 190th #7,Redondo Beach,90278,92500,2,1,600,0,1959,62,154,0
239 S Lasky Dr,Beverly Hills,90212,1949500,2,3,1518,9014,1990,1,1284,375
2412 Glenrose Ave,Altadena,91001,925000,2,1,1113,4644,1947,2,831,0
2427 Centinela Ave Unit A,Santa Monica,90405,647000,2,1,854,17862,1950,3,758,272
2432 W Avenue 30,Los Angeles,90065,1100000,2,1,1520,9000,1921,13,724,0
2441 14th St,Santa Monica,90405,1798000,2,1,954,4481,1941,2,1885,0
245 Windward Ave,Venice,90291,1400000,2,1,564,2850,1921,4,2482,0
248 S Doheny Dr #6,Beverly Hills,90211,870000,2,2,1074,5608,1961,7,810,450
2503 28th St #4,Santa Monica,90405,1400000,2,2.5,1723,9005,1992,7,813,450
2519 Kansas Ave #102,Santa Monica,90404,989000,2,2.5,1367,12596,1979,5,723,300
257 S Hudson Ave #301,Pasadena,91101,1198000,2,2.5,1991,0,2009,7,602,628
26200 Frampton #43,Torrance,90710,154500,2,2,1440,0,1976,1,107,0
2661 S Longwood Ave,Los Angeles,90016,899999,2,2,888,4482,1925,25,1014,0
2663 Centinela Ave #310,Santa Monica,90405,960000,2,2.5,1249,34255,1981,34,769,530
2705-2707 Benedict St,Atwater Village,90039,855000,2,2,960,5405,1925,18,891,0
278 S Oak Knoll Ave #9,Pasadena,91101,757000,2,2,1350,15022,1987,188,561,325
2809 W Norwood Pl,Alhambra,91803,1050000,2,2,1472,7484,1947,126,713,0
2831 Wellington Rd,Los Angeles,90016,999890,2,1,960,5234,1924,11,1042,0
2865 S Shenandoah St,Los Angeles,90034,945000,2,3,1794,4060,1956,105,527,0
288 S Oakland Ave #101,Pasadena,91101,899000,2,2,1280,0,2016,46,702,366
2903 Hillcrest Dr,Los Angeles,90016,925000,2,1,1050,4420,1925,6,881,0
306 S Arroyo Dr Unit B,San Gabriel,91776,788000,2,2.5,1333,38326,2017,13,591,275
3070 Lake Hollywood Dr,Los Angeles,90068,1598000,2,2,1822,9217,1948,3,877,0
3134 Scotland St,Los Angeles,90039,1250000,2,2,1420,3680,1953,1,880,0
320 E Glenarm St,Pasadena,91106,1445000,2,1.5,1533,7842,1928,7,943,0
321 N Oakhurst Dr #301,Beverly Hills,90210,845000,2,2,1564,22501,1974,8,540,1144
321 S San Vicente Blvd #203,Los Angeles,90048,715000,2,2,1282,42253,1976,32,558,685
322 S Mansfield Ave,Hancock Park,90036,1599999,2,2,1546,6750,1924,13,1035,0
324 N Louise St #10,Glendale,91206,689000,2,2,1283,9479,1966,13,537,325
3246 W 135th St,Hawthorne,90250,750000,2,2,1193,6159,1954,13,629,0
325 N Arnaz Dr #204,Los Angeles,90048,1125000,2,2,1327,11116,2005,26,848,640
330 N Chapel Ave #219,Alhambra,91801,530000,2,1,739,32,1973,9,717,242
3310 Raintree Cir,Culver City,90230,599000,2,2,1116,296873,1972,10,537,576
3315 Griffith Park Blvd #203,Los Angeles,90027,785000,2,1.5,1176,25023,1976,3,668,534
3322 Ledgewood Dr,Los Angeles,90068,1200000,2,2,981,11104,1957,3,1223,0
3460 Division St,Los Angeles,90065,775000,2,0,987,6599,1947,12,785,0
3520 Hollydale Dr,Los Angeles,90039,999990,2,1,900,5401,1927,1,1111,0
355 E Ashtabula St,Pasadena,91104,795000,2,1,969,7188,1897,21,820,0
3555 Keystone Ave #201,Los Angeles,90034,798000,2,2,1301,14962,1980,4,613,345
3615 Edenhurst Ave,Los Angeles,90039,1725000,2,2,1420,3567,1923,350,1215,0
3645 Cardiff Ave #211,Los Angeles,90034,910000,2,2,1137,30334,1993,18,800,441
370 Cliff Dr #3,Pasadena,91107,725000,2,2,1191,18341,1959,11,609,325
3710 W Imperial,Inglewood,90303,639999,2,1,1061,6127,1940,2,603,0
3810 Wilshire Blvd #2008,Los Angeles,90010,720000,2,2,910,64152,1962,1,791,650
385 S Oakland Ave #204,Pasadena,91101,750000,2,2,1209,52524,1963,1,620,409
3911 W 112th St,Inglewood,90303,700000,2,2,1301,5937,1959,4,538,0
3969 S Centinela Ave,Los Angeles,90066,1190000,2,2,1179,2251,1948,19,1009,0
400 W California Ave #106,Glendale,91203,685000,2,2,1198,28142,1998,5,572,285
405 N Palm Dr #304,Beverly Hills,90210,1450000,2,2.5,1856,15405,1983,4,781,1051
406 W Bencamp St,San Gabriel,91776,850000,2,2,987,5933,1929,14,861,0
409 Los Higos St,Alhambra,91801,836000,2,2,1040,3685,1955,85,804,0
4102 Raintree Cir,Culver City,90230,779000,2,2,1122,296873,1972,1,694,576
412 N Highland Ave,Los Angeles,90036,2395000,2,2.5,2809,10027,1948,1,853,0
4125 W 162nd St,Lawndale,90260,759995,2,1,885,5347,1934,4,859,0
4163 Center St,Culver City,90232,1950000,2,2,975,5501,1939,111,2000,0
4197 York Blvd,Eagle Rock,90065,988000,2,1.5,1035,7454,1926,48,955,0
42 E Harriet St,Altadena,91001,885000,2,1,1242,9281,1981,33,713,0
4201 Topanga Canyon Blvd,Woodland Hills,91364,174500,2,2,1248,0,1966,3,140,0
4202 Whitsett Ave #202,Studio City,91604,809000,2,2,1230,11974,2007,1,658,511
4252 Tosca Rd,Woodland Hills,91364,892500,2,1,1684,6875,1956,3,530,0
4268 Spencer St,Torrance,90503,975000,2,3,2188,190501,1989,7,446,400
428 S 1st St,Alhambra,91801,762000,2,1,682,7500,1924,82,1117,0
4298 Rosilyn Dr,Los Angeles,90063,780000,2,1.5,1380,4957,1939,2,565,0
433 N Altadena Dr #5,Pasadena,91107,754000,2,2,1290,38216,2005,164,584,385
4353 Colfax Ave #43,Studio City,91604,500000,2,1,881,90789,1961,3,568,427
441 S Wetherly Dr,Beverly Hills,90211,2787654,2,2,1252,5096,1926,28,2227,0
4465 Katherine Ave,Sherman Oaks,91423,1049000,2,1,1076,6749,1942,3,975,0
4515 Don Ricardo Dr Unit 2W,Los Angeles,90008,615000,2,1.5,948,15770,1961,2,649,264
4523 W 167th St,Lawndale,90260,803000,2,1.5,932,3954,1941,34,862,0
453 N Altadena Dr #9,Pasadena,91107,768888,2,2.5,1263,38211,2005,112,609,440
4603 W 17th St,Los Angeles,90019,825000,2,1,832,2645,1923,5,992,0
4709 Dunrobin Ave,Lakewood,90713,755777,2,1,1312,5040,1950,1,576,0
4844 York Blvd,Los Angeles,90042,1200000,2,1,1120,5194,1921,74,1071,0
497 E California Blvd #113,Pasadena,91106,699000,2,2,1154,75663,1980,16,606,475
5001 Stoney Creek Rd #455,Culver City,90230,669900,2,2,885,104280,1973,111,757,486
501 E Del Mar Blvd #104,Pasadena,91101,779000,2,2,1263,36778,1987,5,617,404
507 Sinaloa Ave,Pasadena,91106,520000,2,1,682,3185,1923,29,762,0
524 E Mission Rd,San Gabriel,91776,1050000,2,1.5,2369,5095,1924,12,443,0
5301 Balboa Unit B6,Encino,91316,599999,2,2,1385,0,1965,33,433,459
5301 Yarmouth Ave #4,Encino,91316,489000,2,2,1199,21801,1969,4,408,502
5389-1/2 Village Grn,Los Angeles,90016,750000,2,1,982,588770,1945,84,764,454
5400 Newcastle Ave #55,Encino,91316,459000,2,2,945,60947,1967,1,486,449
5402 W 149th Pl #17,Hawthorne,90250,949000,2,2,1331,62743,2007,12,713,293
5412 W Pico,Los Angeles,90019,1500000,2,2,1316,3218,1924,4,1140,0
5441 Twin Lakes Dr,Cypress,90630,599999,2,1.5,993,0,1979,1,604,435
5475 Twin Lakes Dr,Cypress,90630,553000,2,1,1156,0,1979,14,478,435
5610 Corbett St,Los Angeles,90016,459900,2,1,759,37289,1948,87,606,380
5644 Clemson St,Los Angeles,90016,469000,2,1,808,30523,1948,1,580,480
5772 Clemson St,Los Angeles,90016,475000,2,1,771,30840,1948,73,616,345
5829 Sultana,Temple City,91780,750000,2,1,956,4811,1941,529,785,0
